corpus,caso,fuentes,angulos_reales,metodo,angulos_estimados,error_medio_grados,tiempo_localizacion_ms,preprocesamiento_ms
corpus48000,clean-1source,1,"60.00",Pearson,"62.00",2.000000,1189.327002,24.976969
corpus48000,clean-1source,1,"60.00",GCC,"62.00",2.000000,1258.888006,24.976969
corpus48000,clean-1source,1,"60.00",SRP-PHAT,"118.00",58.000000,7393.959045,24.976969
corpus48000,clean-1source,1,"60.00",Delay-and-Sum,"80.00",20.000000,14054.089069,24.976969
corpus48000,clean-1source,1,"60.00",MUSIC,"80.00",20.000000,310.508013,24.976969
corpus48000,clean-2source,2,"-30.00 90.00",Pearson,"-28.00",180.000000,7493.899107,34.860849
corpus48000,clean-2source,2,"-30.00 90.00",GCC,"-28.00",180.000000,7292.048931,34.860849
corpus48000,clean-2source,2,"-30.00 90.00",SRP-PHAT,"-60.00 0.00",60.000000,7134.070873,34.860849
corpus48000,clean-2source,2,"-30.00 90.00",Delay-and-Sum,"-28.00",180.000000,13803.346157,34.860849
corpus48000,clean-2source,2,"-30.00 90.00",MUSIC,"-84.00 -26.00",89.000000,223.074198,34.860849
corpus48000,clean-2source090,2,"0.00 90.00",Pearson,"82.00",180.000000,7215.563059,36.875963
corpus48000,clean-2source090,2,"0.00 90.00",GCC,"82.00",180.000000,7415.816069,36.875963
corpus48000,clean-2source090,2,"0.00 90.00",SRP-PHAT,"-180.00 -24.00",57.000000,7243.647099,36.875963
corpus48000,clean-2source090,2,"0.00 90.00",Delay-and-Sum,"82.00",180.000000,13952.096939,36.875963
corpus48000,clean-2source090,2,"0.00 90.00",MUSIC,"42.00 156.00",54.000000,295.628071,36.875963
corpus48000,clean-2source090_2,2,"0.00 90.00",Pearson,"4.00 78.00",8.000000,7363.001823,37.683964
corpus48000,clean-2source090_2,2,"0.00 90.00",GCC,"4.00 78.00",8.000000,7076.184273,37.683964
corpus48000,clean-2source090_2,2,"0.00 90.00",SRP-PHAT,"-180.00 60.00",75.000000,7045.550108,37.683964
corpus48000,clean-2source090_2,2,"0.00 90.00",Delay-and-Sum,"2.00 72.00",10.000000,14031.568050,37.683964
corpus48000,clean-2source090_2,2,"0.00 90.00",MUSIC,"-26.00 88.00",14.000000,240.034103,37.683964
corpus48000,clean-3source,3,"-30.00 90.00 -150.00",Pearson,"-138.00 -36.00",180.000000,7036.225080,27.457952
corpus48000,clean-3source,3,"-30.00 90.00 -150.00",GCC,"-138.00 -36.00",180.000000,7313.006878,27.457952
corpus48000,clean-3source,3,"-30.00 90.00 -150.00",SRP-PHAT,"-180.00 0.00 84.00",22.000000,7176.253080,27.457952
corpus48000,clean-3source,3,"-30.00 90.00 -150.00",Delay-and-Sum,"-142.00 -30.00 84.00",4.666667,14187.685013,27.457952
corpus48000,clean-3source,3,"-30.00 90.00 -150.00",MUSIC,"N/A",NaN,NaN,27.457952
corpus48000,clean-3source090180,3,"0.00 90.00 180.00",Pearson,"-180.00 2.00 54.00",12.666667,7178.330898,22.562981
corpus48000,clean-3source090180,3,"0.00 90.00 180.00",GCC,"-180.00 2.00 54.00",12.666667,7340.807199,22.562981
corpus48000,clean-3source090180,3,"0.00 90.00 180.00",SRP-PHAT,"-180.00 60.00 120.00",30.000000,7562.835932,22.562981
corpus48000,clean-3source090180,3,"0.00 90.00 180.00",Delay-and-Sum,"-180.00 0.00 52.00",12.666667,14623.770952,22.562981
corpus48000,clean-3source090180,3,"0.00 90.00 180.00",MUSIC,"N/A",NaN,NaN,22.562981
corpus48000,clean-4source,4,"0.00 90.00 180.00 -90.00",Pearson,"-178.00 -90.00 0.00",180.000000,7272.079945,36.198139
corpus48000,clean-4source,4,"0.00 90.00 180.00 -90.00",GCC,"-178.00 -90.00 0.00",180.000000,7331.750154,36.198139
corpus48000,clean-4source,4,"0.00 90.00 180.00 -90.00",SRP-PHAT,"-60.00 0.00 60.00 120.00",30.000000,7396.741867,36.198139
corpus48000,clean-4source,4,"0.00 90.00 180.00 -90.00",Delay-and-Sum,"-178.00 -92.00 2.00",180.000000,15956.823111,36.198139
corpus48000,clean-4source,4,"0.00 90.00 180.00 -90.00",MUSIC,"N/A",NaN,NaN,36.198139
corpus48000,noisy-1source,1,"0.00",Pearson,"-6.00",6.000000,1891.885042,100.696087
corpus48000,noisy-1source,1,"0.00",GCC,"-6.00",6.000000,1930.242062,100.696087
corpus48000,noisy-1source,1,"0.00",SRP-PHAT,"0.00",0.000000,11705.932140,100.696087
corpus48000,noisy-1source,1,"0.00",Delay-and-Sum,"-6.00",6.000000,21934.585094,100.696087
corpus48000,noisy-1source,1,"0.00",MUSIC,"-132.00",132.000000,493.257046,100.696087
corpus48000,noisy-2source,2,"-30.00 90.00",Pearson,"0.00",180.000000,10453.208923,43.144941
corpus48000,noisy-2source,2,"-30.00 90.00",GCC,"0.00",180.000000,9080.034971,43.144941
corpus48000,noisy-2source,2,"-30.00 90.00",SRP-PHAT,"-60.00 60.00",30.000000,8770.728111,43.144941
corpus48000,noisy-2source,2,"-30.00 90.00",Delay-and-Sum,"-30.00",180.000000,17531.697035,43.144941
corpus48000,noisy-2source,2,"-30.00 90.00",MUSIC,"-174.00 -128.00",97.000000,287.825823,43.144941
corpus48000,noisy-2source090,2,"0.00 90.00",Pearson,"84.00",180.000000,13436.123848,37.851810
corpus48000,noisy-2source090,2,"0.00 90.00",GCC,"84.00",180.000000,10970.978975,37.851810
corpus48000,noisy-2source090,2,"0.00 90.00",SRP-PHAT,"60.00 120.00",45.000000,9852.543831,37.851810
corpus48000,noisy-2source090,2,"0.00 90.00",Delay-and-Sum,"-26.00 90.00",13.000000,17828.248978,37.851810
corpus48000,noisy-2source090,2,"0.00 90.00",MUSIC,"-112.00 94.00",126.000000,306.722164,37.851810
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",Pearson,"-150.00 90.00 134.00",65.333333,9662.224054,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",GCC,"-150.00 90.00 134.00",65.333333,163396.440029,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",SRP-PHAT,"0.00 60.00 120.00",50.000000,8751.780987,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",Delay-and-Sum,"-148.00 92.00 132.00",66.000000,16410.230875,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",MUSIC,"N/A",NaN,NaN,33.542871
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",Pearson,"-22.00 -2.00 178.00",82.666667,10957.901955,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",GCC,"-22.00 -2.00 178.00",82.666667,13940.773964,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",SRP-PHAT,"-180.00 -120.00 0.00",50.000000,10987.056017,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",Delay-and-Sum,"-178.00 -2.00",180.000000,22899.582148,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",MUSIC,"N/A",NaN,NaN,29.181004
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",Pearson,"-176.00 -16.00",180.000000,10054.375172,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",GCC,"-176.00 -16.00",180.000000,11509.317875,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",SRP-PHAT,"-178.00 -60.00 62.00 120.00",60.000000,13213.294983,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",Delay-and-Sum,"-172.00 -8.00",180.000000,35441.663742,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",MUSIC,"N/A",NaN,NaN,41.146994
